Saison,Verletzung,von,bis,Spiele_verpasst,Quelle,Spieler,Team
21/22,Leistenverletzung,16.04.2022,30.06.2022,76 Tage,Transfermarkt,Robin Gosens,1. FC Union Berlin
19/20,Schulterverletzung,25.01.2020,01.02.2020,8 Tage,Transfermarkt,Robin Gosens,1. FC Union Berlin
18/19,Krank,19.01.2019,23.01.2019,5 Tage,Transfermarkt,Robin Gosens,1. FC Union Berlin
18/19,Schonung,31.10.2018,31.10.2018,1 Tage,Transfermarkt,Robin Gosens,1. FC Union Berlin
17/18,Schonung,20.09.2017,20.09.2017,1 Tage,Transfermarkt,Robin Gosens,1. FC Union Berlin
16/17,Schonung,26.10.2016,26.10.2016,1 Tage,Transfermarkt,Robin Gosens,1. FC Union Berlin
